date,home_team,score,away_team
09-12-2023,Mallorca,1 - 0,Sevilla
17-12-2023,Almeria,0 - 0,Mallorca
21-12-2023,Mallorca,03-Feb,Osasuna
03-01-2024,Real Madrid,1 - 0,Mallorca
13-01-2024,Mallorca,01-Jan,Celta
20-01-2024,Villarreal,01-Jan,Mallorca
27-01-2024,Mallorca,0 - 1,Betis
02-02-2024,Ath Bilbao,4 - 0,Mallorca
11-02-2024,Mallorca,02-Jan,Vallecano
18-02-2024,Mallorca,01-Feb,Sociedad
24-02-2024,Alaves,01-Jan,Mallorca
03-03-2024,Mallorca,1 - 0,Girona
08-03-2024,Barcelona,1 - 0,Mallorca
16-03-2024,Mallorca,1 - 0,Granada
30-03-2024,Valencia,0 - 0,Mallorca
13-04-2024,Mallorca,0 - 1,Real Madrid
22-04-2024,Sevilla,02-Jan,Mallorca
28-04-2024,Cadiz,01-Jan,Mallorca
04-05-2024,Mallorca,0 - 1,Ath Madrid
11-05-2024,Mallorca,1 - 0,Las Palmas
14-05-2024,Osasuna,01-Jan,Mallorca
19-05-2024,Mallorca,02-Feb,Almeria
26-05-2024,Getafe,01-Feb,Mallorca
13-08-2023,Celta,0 - 2,Osasuna
19-08-2023,Osasuna,0 - 2,Ath Bilbao
27-08-2023,Valencia,01-Feb,Osasuna
03-09-2023,Osasuna,01-Feb,Barcelona
17-09-2023,Getafe,03-Feb,Osasuna
23-09-2023,Osasuna,0 - 0,Sevilla
28-09-2023,Osasuna,0 - 2,Ath Madrid
01-10-2023,Alaves,0 - 2,Osasuna
07-10-2023,Real Madrid,4 - 0,Osasuna
20-10-2023,Osasuna,2 - 0,Granada
29-10-2023,Betis,02-Jan,Osasuna
04-11-2023,Osasuna,02-Apr,Girona
11-11-2023,Osasuna,01-Jan,Las Palmas
26-11-2023,Villarreal,03-Jan,Osasuna
02-12-2023,Osasuna,01-Jan,Sociedad
10-12-2023,Cadiz,01-Jan,Osasuna
15-12-2023,Osasuna,1 - 0,Vallecano
21-12-2023,Mallorca,03-Feb,Osasuna
04-01-2024,Osasuna,1 - 0,Almeria
