date,home_team,score,away_team
16-09-2023,West Ham,01-Mar,Man City
23-09-2023,Man City,2 - 0,Nott'm Forest
30-09-2023,Wolves,02-Jan,Man City
08-10-2023,Arsenal,1 - 0,Man City
21-10-2023,Man City,02-Jan,Brighton
29-10-2023,Man United,0 - 3,Man City
04-11-2023,Man City,06-Jan,Bournemouth
12-11-2023,Chelsea,04-Apr,Man City
25-11-2023,Man City,01-Jan,Liverpool
03-12-2023,Man City,03-Mar,Tottenham
06-12-2023,Aston Villa,1 - 0,Man City
10-12-2023,Luton,01-Feb,Man City
16-12-2023,Man City,02-Feb,Crystal Palace
27-12-2023,Everton,01-Mar,Man City
30-12-2023,Man City,2 - 0,Sheffield United
13-01-2024,Newcastle,02-Mar,Man City
31-01-2024,Man City,03-Jan,Burnley
05-02-2024,Brentford,01-Mar,Man City
10-02-2024,Man City,2 - 0,Everton
17-02-2024,Man City,01-Jan,Chelsea
20-02-2024,Man City,1 - 0,Brentford
24-02-2024,Bournemouth,0 - 1,Man City
03-03-2024,Man City,03-Jan,Man United
10-03-2024,Liverpool,01-Jan,Man City
31-03-2024,Man City,0 - 0,Arsenal
03-04-2024,Man City,04-Jan,Aston Villa
06-04-2024,Crystal Palace,02-Apr,Man City
13-04-2024,Man City,05-Jan,Luton
25-04-2024,Brighton,0 - 4,Man City
28-04-2024,Nott'm Forest,0 - 2,Man City
04-05-2024,Man City,05-Jan,Wolves
11-05-2024,Fulham,0 - 4,Man City
14-05-2024,Tottenham,0 - 2,Man City
19-05-2024,Man City,03-Jan,West Ham
14-08-2023,Man United,1 - 0,Wolves
19-08-2023,Tottenham,2 - 0,Man United
26-08-2023,Man United,03-Feb,Nott'm Forest
03-09-2023,Arsenal,03-Jan,Man United
16-09-2023,Man United,01-Mar,Brighton
23-09-2023,Burnley,0 - 1,Man United
30-09-2023,Man United,0 - 1,Crystal Palace
07-10-2023,Man United,02-Jan,Brentford
21-10-2023,Sheffield United,01-Feb,Man United
29-10-2023,Man United,0 - 3,Man City
04-11-2023,Fulham,0 - 1,Man United
11-11-2023,Man United,1 - 0,Luton
26-11-2023,Everton,0 - 3,Man United
02-12-2023,Newcastle,1 - 0,Man United
06-12-2023,Man United,02-Jan,Chelsea
09-12-2023,Man United,0 - 3,Bournemouth
17-12-2023,Liverpool,0 - 0,Man United
23-12-2023,West Ham,2 - 0,Man United
26-12-2023,Man United,03-Feb,Aston Villa
30-12-2023,Nott'm Forest,02-Jan,Man United
14-01-2024,Man United,02-Feb,Tottenham
01-02-2024,Wolves,03-Apr,Man United
04-02-2024,Man United,3 - 0,West Ham
11-02-2024,Aston Villa,01-Feb,Man United
18-02-2024,Luton,01-Feb,Man United
